Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,City,Age,Category,Product Name,Unit Price,Quantity,Gross Sales,Discount (%),Sales,Cost,Profit,Profit Margin (%),Payment Method,Customer Rating,Returned,Month,Month Name,Quarter,Weekday,Age Group
ORD-010010,2025-01-01,2025-01-07,Standard Class,C-1093,Patricia Davis,Corporate,West,Seattle,40,Home & Kitchen,Philips Hue Kit,222.92,1,222.92,0.0,222.92,130.01,92.91,41.68,PayPal,4.7,0,1,January,1,Wednesday,36-45
ORD-010011,2025-01-01,2025-01-01,Same Day,C-2155,Patricia Reddy,Consumer,Central,Houston,39,Electronics,Sony WH-1000XM5,523.71,2,1047.42,10.0,942.68,691.81,250.87,26.61,Google Pay,4.0,0,1,January,1,Wednesday,36-45
ORD-010012,2025-01-01,2025-01-05,Second Class,C-1178,Patricia Chen,Home Office,East,New York,25,Food & Grocery,Whey Protein 5lb,54.4,1,54.4,10.0,48.96,37.36,11.6,23.69,Debit Card,4.0,0,1,January,1,Wednesday,18-25
ORD-010013,2025-01-01,2025-01-05,Second Class,C-1636,Susan Singh,Corporate,East,New York,33,Food & Grocery,Cold Pressed Juice,25.73,1,25.73,0.0,25.73,17.36,8.37,32.53,Credit Card,4.4,0,1,January,1,Wednesday,26-35
ORD-010014,2025-01-01,2025-01-03,First Class,C-1259,John Johnson,Corporate,West,Seattle,30,Beauty & Health,Vitamin C Serum,139.63,1,139.63,0.0,139.63,72.52,67.11,48.06,Google Pay,4.1,0,1,January,1,Wednesday,26-35
ORD-010015,2025-01-01,2025-01-05,Second Class,C-1411,Aisha Jones,Consumer,South,Atlanta,32,Food & Grocery,Quinoa 2kg,41.18,3,123.54,30.0,86.48,71.33,15.15,17.52,Apple Pay,3.6,0,1,January,1,Wednesday,26-35
ORD-010016,2025-01-01,2025-01-07,Standard Class,C-2111,Linda Garcia,Consumer,South,Atlanta,26,Home & Kitchen,IKEA KALLAX Shelf,109.94,3,329.82,0.0,329.82,221.85,107.97,32.74,Apple Pay,5.0,0,1,January,1,Wednesday,26-35
ORD-010017,2025-01-01,2025-01-07,Standard Class,C-1564,John Miller,Home Office,South,Nashville,43,Home & Kitchen,Philips Hue Kit,591.43,2,1182.86,30.0,828.0,750.83,77.17,9.32,Credit Card,4.4,0,1,January,1,Wednesday,36-45
ORD-010018,2025-01-01,2025-01-07,Standard Class,C-1860,James Lee,Corporate,West,San Francisco,32,Food & Grocery,Dark Chocolate 70%,12.17,1,12.17,5.0,11.56,8.3,3.26,28.2,Credit Card,2.5,0,1,January,1,Wednesday,26-35
ORD-010019,2025-01-01,2025-01-03,First Class,C-1431,Susan Kumar,Consumer,East,Boston,36,Sports & Fitness,Garmin Fenix 7,38.84,1,38.84,5.0,36.9,23.32,13.58,36.8,Credit Card,5.0,0,1,January,1,Wednesday,36-45
ORD-010020,2025-01-02,2025-01-04,First Class,C-2071,Linda Miller,Home Office,East,Boston,48,Sports & Fitness,Peloton Bike+,217.59,1,217.59,15.0,184.95,127.63,57.32,30.99,Debit Card,3.7,0,1,January,1,Thursday,46-55
ORD-010021,2025-01-02,2025-01-08,Standard Class,C-1176,David Garcia,Consumer,West,Seattle,42,Sports & Fitness,Pull-Up Bar,59.95,1,59.95,0.0,59.95,36.08,23.87,39.82,Credit Card,5.0,0,1,January,1,Thursday,36-45
ORD-010022,2025-01-02,2025-01-08,Standard Class,C-1487,Aisha Kim,Home Office,Central,Houston,18,Clothing,Zara Blazer,215.06,1,215.06,0.0,215.06,133.53,81.53,37.91,Debit Card,4.0,0,1,January,1,Thursday,18-25
ORD-010023,2025-01-02,2025-01-08,Standard Class,C-1397,Michael Jones,Corporate,Central,Dallas,43,Clothing,Levi's 501 Jeans,81.7,3,245.1,10.0,220.59,154.58,66.01,29.92,Credit Card,4.7,0,1,January,1,Thursday,36-45
ORD-010024,2025-01-02,2025-01-06,Second Class,C-1071,Michael Sharma,Home Office,South,Charlotte,44,Beauty & Health,Dove Body Wash,245.32,4,981.28,0.0,981.28,541.67,439.61,44.8,Debit Card,3.5,0,1,January,1,Thursday,36-45
ORD-010025,2025-01-02,2025-01-08,Standard Class,C-1659,Robert Garcia,Corporate,East,Philadelphia,20,Home & Kitchen,Nespresso Vertuo,504.69,4,2018.76,0.0,2018.76,1285.36,733.4,36.33,PayPal,3.6,0,1,January,1,Thursday,18-25
ORD-010026,2025-01-02,2025-01-08,Standard Class,C-1378,James Kim,Corporate,Central,Chicago,40,Electronics,iPad Pro 12.9,604.19,2,1208.38,10.0,1087.54,813.8,273.74,25.17,Apple Pay,4.0,0,1,January,1,Thursday,36-45
ORD-010027,2025-01-02,2025-01-08,Standard Class,C-2076,James Miller,Consumer,East,Boston,31,Books & Media,The Lean Startup,40.95,3,122.85,0.0,122.85,59.91,62.94,51.23,Apple Pay,4.4,0,1,January,1,Thursday,26-35
ORD-010028,2025-01-02,2025-01-02,Same Day,C-1430,Priya Johnson,Corporate,South,Charlotte,47,Electronics,iPhone 15 Pro,1228.55,1,1228.55,15.0,1044.27,825.13,219.14,20.98,Debit Card,3.1,0,1,January,1,Thursday,46-55
ORD-010029,2025-01-02,2025-01-08,Standard Class,C-1453,James Johnson,Corporate,East,Boston,51,Home & Kitchen,Roomba i7+,205.19,1,205.19,30.0,143.63,140.85,2.78,1.94,Credit Card,2.8,0,1,January,1,Thursday,46-55
ORD-010030,2025-01-02,2025-01-08,Standard Class,C-1986,Linda Miller,Consumer,Central,Dallas,20,Clothing,H&M Hoodie,161.78,1,161.78,0.0,161.78,100.36,61.42,37.97,Apple Pay,4.5,0,1,January,1,Thursday,18-25
ORD-010031,2025-01-02,2025-01-04,First Class,C-1452,Aisha Reddy,Consumer,East,New York,59,Sports & Fitness,Nike Gloves,17.84,3,53.52,20.0,42.82,36.26,6.56,15.32,Debit Card,4.2,0,1,January,1,Thursday,56+
ORD-010032,2025-01-02,2025-01-08,Standard Class,C-1051,David Smith,Corporate,East,New York,44,Food & Grocery,Organic Almonds 1kg,49.85,4,199.4,30.0,139.58,122.64,16.94,12.14,Debit Card,4.0,0,1,January,1,Thursday,36-45
ORD-010033,2025-01-02,2025-01-08,Standard Class,C-1228,Robert Davis,Corporate,East,Boston,42,Electronics,Apple Watch Series 9,223.36,1,223.36,5.0,212.19,158.49,53.7,25.31,Debit Card,4.7,0,1,January,1,Thursday,36-45
ORD-010034,2025-01-02,2025-01-08,Standard Class,C-1166,Lucas Davis,Home Office,East,New York,46,Clothing,Zara Blazer,211.52,3,634.56,25.0,475.92,357.1,118.82,24.97,Debit Card,3.8,0,1,January,1,Thursday,46-55
ORD-010035,2025-01-02,2025-01-06,Second Class,C-1932,David Kumar,Consumer,South,Nashville,30,Books & Media,Python Crash Course,14.49,1,14.49,0.0,14.49,5.9,8.59,59.28,Debit Card,4.5,0,1,January,1,Thursday,26-35
ORD-010036,2025-01-02,2025-01-08,Standard Class,C-1363,David Johnson,Corporate,West,San Francisco,42,Electronics,LG 27in 4K Monitor,480.94,1,480.94,0.0,480.94,332.01,148.93,30.97,Credit Card,4.5,0,1,January,1,Thursday,36-45
ORD-010037,2025-01-02,2025-01-02,Same Day,C-1214,Mary Davis,Corporate,East,Boston,18,Home & Kitchen,Roomba i7+,693.9,2,1387.8,0.0,1387.8,856.97,530.83,38.25,PayPal,4.4,0,1,January,1,Thursday,18-25
ORD-010038,2025-01-03,2025-01-09,Standard Class,C-1551,Michael Jones,Corporate,East,New York,45,Books & Media,Harry Potter Set,46.39,1,46.39,0.0,46.39,20.99,25.4,54.75,Debit Card,4.2,0,1,January,1,Friday,36-45
ORD-010039,2025-01-03,2025-01-05,First Class,C-1518,Sofia Kumar,Corporate,Central,Houston,35,Sports & Fitness,Pull-Up Bar,211.57,1,211.57,0.0,211.57,130.62,80.95,38.26,Credit Card,3.8,0,1,January,1,Friday,26-35
ORD-010040,2025-01-03,2025-01-03,Same Day,C-1237,James Kumar,Corporate,East,Philadelphia,55,Clothing,H&M Hoodie,25.05,3,75.15,0.0,75.15,37.9,37.25,49.57,Credit Card,4.0,0,1,January,1,Friday,46-55
ORD-010041,2025-01-03,2025-01-09,Standard Class,C-2073,Mary Williams,Home Office,Central,Dallas,35,Clothing,Adidas Ultraboost,114.34,3,343.02,10.0,308.72,178.33,130.39,42.24,Debit Card,4.7,0,1,January,1,Friday,26-35
ORD-010042,2025-01-03,2025-01-09,Standard Class,C-1719,John Kim,Corporate,East,Boston,43,Sports & Fitness,Pull-Up Bar,89.91,3,269.73,0.0,269.73,161.27,108.46,40.21,Debit Card,3.3,0,1,January,1,Friday,36-45
ORD-010043,2025-01-03,2025-01-09,Standard Class,C-1581,Mary Smith,Corporate,West,Los Angeles,54,Beauty & Health,Electric Toothbrush,48.08,2,96.16,0.0,96.16,57.29,38.87,40.42,Google Pay,4.7,0,1,January,1,Friday,46-55
ORD-010044,2025-01-03,2025-01-05,First Class,C-1508,Robert Jones,Consumer,Central,Houston,38,Clothing,H&M Hoodie,198.38,2,396.76,0.0,396.76,242.28,154.48,38.94,PayPal,4.8,0,1,January,1,Friday,36-45
ORD-010045,2025-01-03,2025-01-09,Standard Class,C-1709,Mary Singh,Consumer,East,Boston,38,Home & Kitchen,Dyson V15 Vacuum,745.74,1,745.74,0.0,745.74,461.88,283.86,38.06,Debit Card,4.7,0,1,January,1,Friday,36-45
ORD-010046,2025-01-03,2025-01-05,First Class,C-1440,Sofia Reddy,Home Office,East,Boston,52,Clothing,Ray-Ban Aviators,162.47,1,162.47,15.0,138.1,94.07,44.03,31.88,Credit Card,4.3,0,1,January,1,Friday,46-55
ORD-010047,2025-01-03,2025-01-09,Standard Class,C-2076,James Miller,Consumer,East,Boston,31,Home & Kitchen,KitchenAid Mixer,245.3,1,245.3,10.0,220.77,171.47,49.3,22.33,Credit Card,3.6,0,1,January,1,Friday,26-35
ORD-010048,2025-01-03,2025-01-09,Standard Class,C-2017,Michael Brown,Corporate,Central,Chicago,26,Clothing,H&M Hoodie,195.25,2,390.5,5.0,370.97,247.56,123.41,33.27,Credit Card,4.2,0,1,January,1,Friday,26-35
ORD-010049,2025-01-03,2025-01-07,Second Class,C-2162,Omar Williams,Corporate,West,San Francisco,41,Food & Grocery,Granola Bars 24pk,29.45,1,29.45,0.0,29.45,20.14,9.31,31.61,Credit Card,3.9,0,1,January,1,Friday,36-45
ORD-010050,2025-01-03,2025-01-07,Second Class,C-1793,Susan Williams,Corporate,East,Boston,39,Sports & Fitness,Peloton Bike+,61.39,2,122.78,10.0,110.5,73.38,37.12,33.59,PayPal,4.3,0,1,January,1,Friday,36-45
ORD-010051,2025-01-03,2025-01-05,First Class,C-2129,Susan Patel,Home Office,East,Philadelphia,62,Food & Grocery,Quinoa 2kg,25.96,1,25.96,15.0,22.07,15.0,7.07,32.03,Debit Card,3.4,0,1,January,1,Friday,56+
ORD-010052,2025-01-03,2025-01-09,Standard Class,C-1595,Omar Sharma,Consumer,East,Boston,58,Clothing,Nike Air Force 1,154.11,3,462.33,15.0,392.98,299.2,93.78,23.86,Google Pay,3.7,0,1,January,1,Friday,56+
ORD-010053,2025-01-03,2025-01-09,Standard Class,C-1347,John Davis,Consumer,South,Charlotte,62,Electronics,Dell XPS 15,1152.71,3,3458.13,0.0,3458.13,2476.28,981.85,28.39,Google Pay,4.1,0,1,January,1,Friday,56+
ORD-010054,2025-01-04,2025-01-10,Standard Class,C-1721,Michael Johnson,Consumer,Central,Chicago,29,Sports & Fitness,Hydro Flask 32oz,41.93,1,41.93,0.0,41.93,28.38,13.55,32.32,PayPal,3.1,0,1,January,1,Saturday,26-35
ORD-010055,2025-01-04,2025-01-10,Standard Class,C-2161,Patricia Sharma,Consumer,Central,Chicago,45,Electronics,Dell XPS 15,345.28,5,1726.4,0.0,1726.4,1105.55,620.85,35.96,Debit Card,3.6,0,1,January,1,Saturday,36-45
ORD-010056,2025-01-04,2025-01-06,First Class,C-1280,Sofia Jones,Consumer,West,San Francisco,42,Electronics,Sony WH-1000XM5,240.7,2,481.4,0.0,481.4,330.61,150.79,31.32,PayPal,4.1,0,1,January,1,Saturday,36-45
ORD-010057,2025-01-04,2025-01-08,Second Class,C-2014,Lucas Miller,Corporate,West,San Francisco,43,Clothing,Under Armour T-Shirt,55.66,1,55.66,5.0,52.88,32.66,20.22,38.24,Credit Card,4.9,0,1,January,1,Saturday,36-45
ORD-010058,2025-01-04,2025-01-06,First Class,C-1157,Patricia Kumar,Consumer,West,Seattle,54,Home & Kitchen,IKEA KALLAX Shelf,610.1,2,1220.2,25.0,915.15,812.13,103.02,11.26,Credit Card,4.0,0,1,January,1,Saturday,46-55
ORD-010059,2025-01-04,2025-01-10,Standard Class,C-2114,Susan Reddy,Consumer,East,New York,25,Electronics,Apple Watch Series 9,822.75,2,1645.5,15.0,1398.67,1053.49,345.18,24.68,PayPal,3.0,0,1,January,1,Saturday,18-25
ORD-010060,2025-01-04,2025-01-10,Standard Class,C-1267,Patricia Garcia,Corporate,West,San Francisco,44,Electronics,Sony WH-1000XM5,1098.22,3,3294.66,0.0,3294.66,2100.97,1193.69,36.23,Credit Card,3.4,0,1,January,1,Saturday,36-45
ORD-010061,2025-01-04,2025-01-10,Standard Class,C-1870,Omar Lee,Consumer,West,Los Angeles,32,Beauty & Health,MAC Foundation,39.71,2,79.42,5.0,75.45,40.06,35.39,46.91,PayPal,3.7,0,1,January,1,Saturday,26-35
ORD-010062,2025-01-04,2025-01-10,Standard Class,C-1793,Susan Williams,Corporate,East,Boston,39,Sports & Fitness,Bowflex Dumbbells,262.86,2,525.72,5.0,499.43,314.83,184.6,36.96,Credit Card,2.7,0,1,January,1,Saturday,36-45
ORD-010063,2025-01-04,2025-01-10,Standard Class,C-1628,Priya Lee,Consumer,East,Philadelphia,49,Electronics,Logitech MX Keys,856.1,1,856.1,0.0,856.1,614.78,241.32,28.19,PayPal,4.6,0,1,January,1,Saturday,46-55
ORD-010064,2025-01-04,2025-01-10,Standard Class,C-1740,Susan Sharma,Home Office,East,Boston,18,Clothing,Levi's 501 Jeans,197.2,1,197.2,0.0,197.2,126.75,70.45,35.73,Credit Card,5.0,0,1,January,1,Saturday,18-25
ORD-010065,2025-01-04,2025-01-10,Standard Class,C-2190,Aisha Singh,Home Office,South,Nashville,40,Clothing,Gap Hoodie,232.49,2,464.98,10.0,418.48,245.76,172.72,41.27,PayPal,2.5,0,1,January,1,Saturday,36-45
ORD-010066,2025-01-04,2025-01-08,Second Class,C-1866,Michael Smith,Corporate,East,Philadelphia,29,Electronics,Apple Watch Series 9,899.36,2,1798.72,15.0,1528.91,1177.32,351.59,23.0,Debit Card,4.2,0,1,January,1,Saturday,26-35
ORD-010067,2025-01-04,2025-01-10,Standard Class,C-1037,John Miller,Consumer,West,Los Angeles,34,Sports & Fitness,Foam Roller,292.95,1,292.95,0.0,292.95,190.85,102.1,34.85,PayPal,4.7,0,1,January,1,Saturday,26-35
ORD-010068,2025-01-04,2025-01-10,Standard Class,C-1261,Michael Smith,Consumer,East,New York,52,Clothing,Nike Air Force 1,96.33,1,96.33,0.0,96.33,56.64,39.69,41.2,Debit Card,3.6,0,1,January,1,Saturday,46-55
ORD-010069,2025-01-04,2025-01-10,Standard Class,C-1512,Arjun Davis,Consumer,East,Philadelphia,24,Clothing,Ray-Ban Aviators,243.35,2,486.7,0.0,486.7,278.6,208.1,42.76,Debit Card,3.2,0,1,January,1,Saturday,18-25
ORD-010070,2025-01-04,2025-01-08,Second Class,C-1836,David Kumar,Consumer,West,San Francisco,33,Sports & Fitness,Garmin Fenix 7,88.35,1,88.35,0.0,88.35,57.97,30.38,34.39,Credit Card,4.4,0,1,January,1,Saturday,26-35
ORD-010071,2025-01-04,2025-01-06,First Class,C-1097,David Kim,Corporate,West,Seattle,43,Electronics,LG 27in 4K Monitor,1202.33,1,1202.33,0.0,1202.33,806.09,396.24,32.96,Google Pay,5.0,0,1,January,1,Saturday,36-45
ORD-010072,2025-01-04,2025-01-08,Second Class,C-1068,Robert Lee,Home Office,Central,Houston,38,Electronics,Samsung Galaxy S24,1601.1,2,3202.2,0.0,3202.2,2134.42,1067.78,33.35,Credit Card,3.6,0,1,January,1,Saturday,36-45
ORD-010073,2025-01-04,2025-01-10,Standard Class,C-2104,Sofia Chen,Consumer,West,San Francisco,30,Electronics,Canon EOS R50,289.35,1,289.35,20.0,231.48,194.34,37.14,16.04,Credit Card,4.3,0,1,January,1,Saturday,26-35
ORD-010074,2025-01-04,2025-01-10,Standard Class,C-1249,Sofia Garcia,Corporate,South,Atlanta,18,Clothing,Under Armour T-Shirt,44.3,1,44.3,25.0,33.22,26.14,7.08,21.31,PayPal,4.2,1,1,January,1,Saturday,18-25
ORD-010075,2025-01-04,2025-01-10,Standard Class,C-1365,Sofia Reddy,Corporate,East,Boston,37,Clothing,Adidas Ultraboost,107.06,2,214.12,0.0,214.12,108.87,105.25,49.15,Credit Card,4.2,0,1,January,1,Saturday,36-45
ORD-010076,2025-01-04,2025-01-10,Standard Class,C-2165,Priya Kim,Consumer,West,Los Angeles,26,Home & Kitchen,KitchenAid Mixer,432.54,2,865.08,5.0,821.83,544.18,277.65,33.78,Debit Card,3.3,0,1,January,1,Saturday,26-35
ORD-010077,2025-01-04,2025-01-10,Standard Class,C-1877,Lucas Miller,Consumer,South,Atlanta,42,Clothing,Zara Blazer,241.23,1,241.23,5.0,229.17,152.96,76.21,33.25,PayPal,3.4,0,1,January,1,Saturday,36-45
ORD-010078,2025-01-04,2025-01-10,Standard Class,C-1574,Sofia Chen,Corporate,West,Los Angeles,27,Beauty & Health,Biotin Supplements,207.23,2,414.46,0.0,414.46,253.2,161.26,38.91,PayPal,3.8,0,1,January,1,Saturday,26-35
ORD-010079,2025-01-04,2025-01-10,Standard Class,C-1346,Susan Kim,Home Office,East,Philadelphia,46,Books & Media,The Alchemist,70.86,1,70.86,0.0,70.86,37.58,33.28,46.97,Apple Pay,4.5,0,1,January,1,Saturday,46-55
ORD-010080,2025-01-04,2025-01-10,Standard Class,C-1815,Patricia Patel,Corporate,West,San Francisco,59,Clothing,Gap Hoodie,39.08,2,78.16,0.0,78.16,48.29,29.87,38.22,Credit Card,3.8,0,1,January,1,Saturday,56+
ORD-010081,2025-01-04,2025-01-10,Standard Class,C-1525,Lucas Kim,Consumer,East,New York,35,Electronics,Logitech MX Keys,487.88,2,975.76,10.0,878.18,617.5,260.68,29.68,Debit Card,4.1,0,1,January,1,Saturday,26-35
ORD-010082,2025-01-05,2025-01-09,Second Class,C-1756,Sofia Williams,Consumer,South,Charlotte,52,Home & Kitchen,KitchenAid Mixer,54.52,5,272.6,10.0,245.34,183.55,61.79,25.19,PayPal,4.1,0,1,January,1,Sunday,46-55
ORD-010083,2025-01-05,2025-01-09,Second Class,C-1688,Robert Johnson,Home Office,Central,Chicago,38,Electronics,iPad Pro 12.9,1505.06,4,6020.24,0.0,6020.24,3903.02,2117.22,35.17,Debit Card,3.6,0,1,January,1,Sunday,36-45
ORD-010084,2025-01-05,2025-01-11,Standard Class,C-2190,Aisha Singh,Home Office,South,Nashville,40,Electronics,MacBook Air M3,471.94,1,471.94,0.0,471.94,310.97,160.97,34.11,Debit Card,3.3,0,1,January,1,Sunday,36-45
ORD-010085,2025-01-05,2025-01-11,Standard Class,C-1101,John Davis,Consumer,West,Los Angeles,48,Electronics,Samsung Galaxy S24,609.47,3,1828.41,0.0,1828.41,1264.66,563.75,30.83,PayPal,4.4,0,1,January,1,Sunday,46-55
ORD-010086,2025-01-05,2025-01-11,Standard Class,C-2018,Lucas Davis,Consumer,West,San Francisco,41,Electronics,Logitech MX Keys,1728.16,1,1728.16,0.0,1728.16,1159.61,568.55,32.9,Credit Card,3.9,0,1,January,1,Sunday,36-45
ORD-010087,2025-01-05,2025-01-11,Standard Class,C-1296,Linda Chen,Corporate,West,Los Angeles,71,Electronics,iPad Pro 12.9,578.04,1,578.04,0.0,578.04,408.8,169.24,29.28,Debit Card,4.3,0,1,January,1,Sunday,56+
ORD-010088,2025-01-05,2025-01-11,Standard Class,C-1926,Lucas Patel,Consumer,East,New York,35,Home & Kitchen,KitchenAid Mixer,721.14,4,2884.56,10.0,2596.1,1931.76,664.34,25.59,Debit Card,3.7,0,1,January,1,Sunday,26-35
ORD-010089,2025-01-05,2025-01-11,Standard Class,C-1878,Linda Reddy,Consumer,West,Seattle,18,Home & Kitchen,IKEA KALLAX Shelf,502.27,5,2511.35,15.0,2134.65,1565.88,568.77,26.64,Credit Card,4.2,0,1,January,1,Sunday,18-25
ORD-010090,2025-01-05,2025-01-11,Standard Class,C-1953,Robert Chen,Corporate,West,San Francisco,57,Electronics,iPhone 15 Pro,1798.64,1,1798.64,20.0,1438.91,1188.33,250.58,17.41,Apple Pay,3.8,1,1,January,1,Sunday,56+
ORD-010091,2025-01-05,2025-01-11,Standard Class,C-1420,Aisha Williams,Home Office,West,Seattle,21,Sports & Fitness,TRX Kit,192.18,2,384.36,0.0,384.36,242.69,141.67,36.86,PayPal,5.0,0,1,January,1,Sunday,18-25
ORD-010092,2025-01-05,2025-01-11,Standard Class,C-1348,David Miller,Corporate,Central,Houston,48,Clothing,Zara Blazer,208.93,4,835.72,0.0,835.72,511.84,323.88,38.75,Credit Card,4.0,0,1,January,1,Sunday,46-55
ORD-010093,2025-01-05,2025-01-09,Second Class,C-1905,John Davis,Corporate,Central,Chicago,32,Home & Kitchen,KitchenAid Mixer,615.21,4,2460.84,0.0,2460.84,1682.3,778.54,31.64,PayPal,5.0,0,1,January,1,Sunday,26-35
ORD-010094,2025-01-05,2025-01-09,Second Class,C-1519,Patricia Kim,Consumer,South,Nashville,57,Electronics,Apple Watch Series 9,1667.35,1,1667.35,0.0,1667.35,1155.45,511.9,30.7,Google Pay,4.1,0,1,January,1,Sunday,56+
ORD-010095,2025-01-05,2025-01-11,Standard Class,C-1478,Lucas Smith,Consumer,Central,Chicago,50,Beauty & Health,Electric Toothbrush,282.05,2,564.1,0.0,564.1,302.56,261.54,46.36,Credit Card,4.4,0,1,January,1,Sunday,46-55
ORD-010096,2025-01-05,2025-01-07,First Class,C-1198,Sofia Miller,Corporate,East,New York,19,Beauty & Health,MAC Foundation,244.22,3,732.66,15.0,622.76,452.21,170.55,27.39,PayPal,3.5,0,1,January,1,Sunday,18-25
ORD-010097,2025-01-05,2025-01-11,Standard Class,C-2043,Mary Smith,Consumer,East,Boston,34,Clothing,Nike Air Force 1,31.66,1,31.66,0.0,31.66,20.01,11.65,36.8,Debit Card,4.4,0,1,January,1,Sunday,26-35
ORD-010098,2025-01-05,2025-01-11,Standard Class,C-2163,Patricia Jones,Consumer,South,Nashville,21,Sports & Fitness,Peloton Bike+,114.12,1,114.12,0.0,114.12,63.92,50.2,43.99,Credit Card,3.9,0,1,January,1,Sunday,18-25
ORD-010099,2025-01-05,2025-01-11,Standard Class,C-1795,David Jones,Home Office,West,Seattle,40,Beauty & Health,Dove Body Wash,213.31,3,639.93,15.0,543.94,307.49,236.45,43.47,Apple Pay,3.9,0,1,January,1,Sunday,36-45
ORD-010100,2025-01-05,2025-01-07,First Class,C-1713,Linda Brown,Corporate,West,San Francisco,41,Electronics,Canon EOS R50,1458.51,2,2917.02,0.0,2917.02,1829.44,1087.58,37.28,Apple Pay,4.8,0,1,January,1,Sunday,36-45
ORD-010101,2025-01-05,2025-01-11,Standard Class,C-1501,James Johnson,Consumer,South,Charlotte,20,Home & Kitchen,Nespresso Vertuo,268.63,1,268.63,0.0,268.63,176.73,91.9,34.21,Credit Card,4.1,0,1,January,1,Sunday,18-25
ORD-010102,2025-01-05,2025-01-09,Second Class,C-1891,Michael Miller,Corporate,Central,Dallas,56,Home & Kitchen,Nespresso Vertuo,614.81,1,614.81,5.0,584.07,412.04,172.03,29.45,Debit Card,3.5,0,1,January,1,Sunday,56+
ORD-010103,2025-01-05,2025-01-09,Second Class,C-1811,Priya Jones,Consumer,South,Atlanta,23,Sports & Fitness,Nike Gloves,100.04,1,100.04,15.0,85.03,62.23,22.8,26.81,Debit Card,4.7,0,1,January,1,Sunday,18-25
ORD-010104,2025-01-05,2025-01-11,Standard Class,C-1368,Lucas Kumar,Corporate,West,Los Angeles,41,Electronics,Logitech MX Keys,86.43,2,172.86,5.0,164.22,122.35,41.87,25.5,Credit Card,4.2,0,1,January,1,Sunday,36-45
ORD-010105,2025-01-05,2025-01-05,Same Day,C-1948,Jennifer Patel,Corporate,Central,Chicago,21,Clothing,Under Armour T-Shirt,183.64,1,183.64,0.0,183.64,105.82,77.82,42.38,Credit Card,4.2,0,1,January,1,Sunday,18-25
ORD-010106,2025-01-05,2025-01-11,Standard Class,C-1700,Patricia Lee,Home Office,West,Seattle,28,Food & Grocery,Organic Almonds 1kg,56.24,2,112.48,0.0,112.48,65.79,46.69,41.51,Debit Card,3.7,0,1,January,1,Sunday,26-35
